癌症,ai2zheng4,cancer
袭击,xi2ji1,an attack (esp. surprise attack);raid;to attack
先前,xian1qian2,before;previously
相差,xiang1cha4,to differ;discrepancy between
消耗,xiao1hao4,to use up;to consume
泄气,xie4qi4,discouraged;dejected;demoralized;despairing;to want to give up;to deflate (air from a tyre)
信仰,xin4yang3,to believe in (a religion);firm belief;conviction
凶手,xiong1shou3,assailant;murderer;assassin
畜牧,xu4mu4,to raise animals
熏陶,xun1tao2,nurturing (i.e. assimilate some branch of culture);seeped in
严禁,yan2jin4,strictly prohibit
掩饰,yan3shi4,to conceal a fault;to gloss over
要不然,yao4bu4ran2,otherwise;or else;or
一律,yi1lv4,same;uniformly;all;without exception
以往,yi3wang3,in the past;formerly
隐蔽,yin3bi4,to conceal;to hide;covert;under cover
应邀,ying4yao1,at sb's invitation;on invitation
犹如,you2ru2,similar to;appearing to be
欲望,yu4wang4,desire;longing;appetite;craving
岳父,yue4fu4,wife's father, father-in-law
攒,zan3,to accumulate;to amass;to hoard;to save
渣,zha1,slag (in mining or smelting);dregs
战略,zhan4lve4,strategy
遮挡,zhe1dang3,to shelter from;to keep out
振兴,Zhen4xing1,Zhengxing district of Dandong city 丹東市|丹东市[Dan1 dong1 shi4], Liaoning
正气,zheng4qi4,healthy environment;healthy atmosphere;righteousness;vital energy (in Chinese medicine)
值班,zhi2ban1,to work a shift;on duty
制订,zhi4ding4,to work out;to formulate
终年,zhong1nian2,entire year;throughout the year;age at death
周期,zhou1qi1,period;cycle
注视,zhu4shi4,to watch attentively;to gaze
转移,zhuan3yi2,to shift;to divert or distract (attention etc);to change;to transform;metastasis (medicine)
卓越,zhuo2yue4,distinction;excellence;outstanding;surpassing;distinguished;splendid
棕色,zong1se4,brown
钻石,zuan4shi2,diamond;CL:顆|颗[ke1]
