哎哟,ai1yo1,hey;ow;ouch;interjection of pain or surprise
奥秘,ao4mi4,profound;deep;a mystery
拜托,bai4tuo1,request sb to do sth;please!
饱和,bao3he2,saturation
暴力,bao4li4,violence;(use) force;violent
奔波,ben1bo1,rush about;be busy running about
比重,bi3zhong4,proportion;specific gravity
变故,bian4gu4,an unforeseen event;accident;misfortune
表彰,biao3zhang1,cite (in dispatches);commend
博大精深,bo2da4jing1shen1,wide-ranging and profound;broad and deep
布局,bu4ju2,arrangement;composition;layout;opening (chess jargon)
裁缝,cai2feng,tailor;dressmaker
舱,cang1,cabin;the hold of a ship or airplane
差距,cha1ju4,disparity;gap
常务,chang2wu4,routine;everyday business;daily operation (of a company)
撤销,che4xiao1,to repeal;to revoke;to undo (computing)
惩罚,cheng2fa2,penalty;punishment;to punish
迟疑,chi2yi2,to hesitate
踌躇,chou2chu2,to hesitate
川流不息,chuan1liu2bu4xi1,the stream flows without stopping (idiom);unending flow
纯粹,chun2cui4,purely
磋商,cuo1shang1,to consult;to discuss seriously;to negotiate;to confer;negotiations;consultations
大伙儿,da4huo3r,everybody;everyone;we all
诞生,dan4sheng1,to be born
导向,dao3xiang4,to be oriented towards;orientation
抵抗,di3kang4,to resist;resistance
雕刻,diao1ke4,to carve;to engrave;carving
冻结,dong4jie2,to freeze (loan, wage, price etc)
堵塞,du3se4,to block;to stop;blockage
队伍,dui4wu,ranks;troops;CL:個|个[ge4]
发财,fa1cai2,to get rich
繁殖,fan2zhi2,to breed;to reproduce;to propagate
方言,fang1yan2,dialect
匪徒,fei3tu2,gangster;bandit
粉色,fen3se4,white;light pink;erotic;beautiful woman;powdered (with make-up)
逢,feng2,to meet by chance;to come across;to fawn upon
抚养,fu3yang3,to foster;to bring up;to raise
尴尬,gan1ga4,awkward;embarrassed
高潮,gao1chao2,high tide;high water;upsurge;climax;orgasm;chorus (part of a song)
各抒己见,ge4shu1ji3jian4,everyone gives their own view
公关,gong1guan1,public relations
巩固,gong3gu4,to consolidate;consolidation;to strengthen
顾虑,gu4lv4,misgivings;apprehensions
光辉,guang1hui1,radiance;glory;brilliant;magnificent
过度,guo4du4,excessive;over-;excess;going too far;extravagant;intemperate;overdue
行列,hang2lie4,procession
和气,he2qi,friendly;polite;amiable
吼,hou3,roar or howl of an animal;bellow of rage
化石,hua4shi2,fossil
挥霍,hui1huo4,to squander money;extravagant;prodigal;free and easy;agile
活力,huo2li4,energy;vitality;vigor;vital force
讥笑,ji1xiao4,to sneer
吉祥,ji2xiang2,lucky;auspicious;propitious
纪要,ji4yao4,minutes;written summary of a meeting
坚韧,jian1ren4,tough and durable;tenacious
鉴定,jian4ding4,to appraise;to identify;to evaluate
降临,jiang4lin2,to descend to
接连,jie1lian2,on end;in a row;in succession
界限,jie4xian4,boundary;marginal
进展,jin4zhan3,to make headway;to make progress
精致,jing1zhi4,delicate;fine;exquisite;refined
鞠躬,ju1gong1,to bow
据悉,ju4xi1,according to reports;it is reported (that)
刊登,kan1deng1,to carry a story;to publish (in a newspaper or magazine)
渴望,ke3wang4,to thirst for;to long for
空白,kong4bai2,blank space
旷课,kuang4ke4,to play truant;to cut classes
捞,lao1,to fish up;to dredge up
理直气壮,li3zhi2qi4zhuang4,in the right and self-confident (idiom);bold and confident with justice on one's side;to have the courage of one's convictions;just and forceful
联盟,lian2meng2,alliance;union;coalition
灵敏,ling2min3,smart;clever;sensitive;keen;quick;sharp
隆重,long2zhong4,grand;prosperous;ceremonious;solemn
掠夺,lve4duo2,to plunder;to rob;also written 略奪|略夺
忙碌,mang2lu4,busy;bustling
梦想,meng4xiang3,to dream of;to hope in vain
渺小,miao3xiao3,minute;tiny;negligible;insignificant
模范,mo2fan4,model;fine example
纳闷儿,na4men4r,puzzled;bewildered
凝聚,ning2ju4,to condense;to coagulate;coacervation (i.e. form tiny droplets);aggregation;coherent
排除,pai2chu2,to eliminate;to get rid of;to remove
盆地,pen2di4,basin (low-lying geographical feature);depression
片刻,pian4ke4,short period of time;a moment
平坦,ping2tan3,level;even;smooth;flat
凄凉,qi1liang2,desolate
启示,qi3shi4,enlightenment;revelation;apocalypse
恰当,qia4dang4,appropriate;suitable
谴责,qian3ze2,to denounce;to condemn;to criticize;condemnation;criticism
清晨,qing1chen2,early morning
请教,qing3jiao4,consult
拳头,quan2tou,fist;clenched fist;competitive (product);superior quality;CL: 個|个
惹祸,re3huo4,stirring up trouble;to invite disaster
任命,ren4ming4,to appoint and nominate
撒谎,sa1huang3,to tell lies
伤脑筋,shang1nao3jin1,knotty;troublesome;bothersome
深奥,shen1ao4,profound;abstruse;recondite;profoundly
渗透,shen4tou4,to permeate;to infiltrate;to pervade;osmosis
胜负,sheng4fu4,victory or defeat;the outcome of a battle
实惠,shi2hui4,tangible benefit;material advantages;advantageous (deal);substantial (discount)
事迹,shi4ji4,deed;past achievement;important event of the past
收藏,shou1cang2,to hoard;to collect;collection
数,shu3,to count;to enumerate;to criticize (i.e. enumerate shortcomings)
司法,si1fa3,judicial;(administration of) justice
素食主义,su4shi2zhu3yi4,vegetarianism
台风,tai2feng1,hurricane;typhoon
陶瓷,tao2ci2,pottery and porcelain;ceramics
天然气,tian1ran2qi4,natural gas
跳跃,tiao4yue4,to jump;to leap;to bound;to skip
投票,tou2piao4,to vote;vote
推销,tui1xiao1,to market;to sell
外界,wai4jie4,the outside world;external
微不足道,wei1bu4zu2dao4,negligible;insignificant
畏惧,wei4ju4,to fear;to dread;foreboding
诬陷,wu1xian4,to entrap;to frame;to plant false evidence against sb
舞蹈,wu3dao3,dance
夕阳,xi1yang2,sunset;the setting sun
鲜明,xian1ming2,bright;clear-cut;distinct
线索,xian4suo3,trail;clues;thread (of a story)
消毒,xiao1du2,to disinfect;to sterilize
谢绝,xie4jue2,to refuse politely
信赖,xin4lai4,to trust;to have confidence in;to have faith in;to rely on
凶恶,xiong1e4,fierce;ferocious;fiendish;frightening
许可,xu3ke3,to allow;to permit
雪上加霜,xue3shang4jia1shuang1,to add hail to snow (idiom);one disaster on top of another;to make things worse in a bad situation
